ImageName,BottomHeightY,TopHeightY,ContaminationHeight
H6EX10_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX10_S_PLC_SPC_Upload_01.png,544,633,89
H6EX12_S_PLC_SPC_Full_Upload_01.png,565,587,22
H6EX12_S_PLC_SPC_Upload_01.png,567,600,33
H6EX15_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX17_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX17_S_PLC_SPC_Upload_01.png,583,684,101
H6EX17_S_PLC_SPC_Upload_02.png,567,641,74
H6EX17_S_PLC_SPC_Upload_03.png,500,585,85
H6EX20_S_PLC_SPC_Full_Upload_01.png,572,594,22
H6EX20_S_PLC_SPC_Full_Upload_02.png,556,582,26
H6EX20_S_PLC_SPC_Upload_01.png,541,670,129
H6EX20_S_PLC_SPC_Upload_02.png,431,579,148
H6EX25_S_PLC_SPC_Full_Upload_02.png,0,0,0
H6EX29_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX30_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX30_S_PLC_SPC_Full_Upload_02.png,575,589,14
H6EX30_S_PLC_SPC_Upload_01.png,533,593,60
H6EX31_S_PLC_SPC_Full_Upload_01.png,489,525,36
H6EX31_S_PLC_SPC_Full_Upload_02.png,515,559,44
H6EX31_S_PLC_SPC_Upload_01.png,574,602,28
H6EX31_S_PLC_SPC_Upload_02.png,567,592,25
H6EX35_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX35_S_PLC_SPC_Upload_01.png,0,0,0
H6EX36_S_PLC_SPC_Full_Upload_01.png,550,615,65
H6EX36_S_PLC_SPC_Full_Upload_02.png,0,0,0
H6EX36_S_PLC_SPC_Upload_01.png,499,591,92
H6EX36_S_PLC_SPC_Upload_02.png,569,617,48
H6EX39_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX39_S_PLC_SPC_Upload_01.png,524,563,39
H6EX39_S_PLC_SPC_Upload_02.png,0,0,0
H6EX41_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
H6EX41_S_PLC_SPC_Upload_Clear_01.png,0,0,0
H6EX42_S_PLC_SPC_Full_Upload_01.png,0,0,0
H6EX42_S_PLC_SPC_Full_Upload_02.png,0,0,0
H6EX42_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
H6EX42_S_PLC_SPC_Upload_01.png,627,711,84
H6EX43_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
H6EX43_S_PLC_SPC_Upload_Clear_02.png,549,615,66
H6EX45_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
H6EX45_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
H6EX45_S_PLC_SPC_Upload_Clear_01.png,549,611,62
H6EX45_S_PLC_SPC_Upload_Clear_02.png,0,0,0
H6EX45_S_PLC_SPC_Upload_Clear_03.png,0,0,0
H6EX46_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
H6EX46_S_PLC_SPC_Upload_Clear_01.png,628,662,34
H6EX47_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
H6EX47_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
